frame,recurrent_mean_mm,teacher_forced_mean_mm,valid_points
2,1.1172771644288315,1.1172771644288315,1945
3,1.2725067994498462,1.2564782408964192,1943
4,1.3219107257214646,1.70212136868228,1942
5,1.452829958354579,1.5078184011295959,1938
6,1.5697623504196956,2.0810744699414907,1949
7,1.6904702975563124,1.5065183163117113,1931
8,1.904742160060341,2.085370269897746,1935
9,1.9392157964910894,2.4232165245465787,1936
10,2.05733212949466,1.6376242464220536,1921
11,2.3052811462855316,1.6886228949614945,1925
12,2.358152512331957,2.07051252603202,1928
13,2.520507357538504,1.9882718771177532,1938
14,2.721214060279975,1.7904072420616424,1934
15,2.8641364288360394,1.8372202573922192,1935
16,3.1699954167838107,2.0233639709165696,1919
17,3.2587937999358774,1.745458388735327,1913
18,3.494809882805594,1.9090471015126564,1908
19,3.7437140687360815,1.9705978492735032,1908
20,3.891454005715833,2.2474447758917826,1921
21,4.081207320998592,2.3888161372829786,1912
22,4.230684376627103,2.417103207655702,1924
23,4.379635444636154,1.7670514228200207,1888
24,4.617480764307236,2.1827996317145826,1898
25,4.765921314920929,2.5577514532688084,1908
26,4.9110835844090595,1.9253838925614442,1888
27,5.146410539114243,2.233167634224542,1897
28,5.34644147433927,2.4981568684661615,1894
29,5.703427208969991,2.3103673340549857,1897
30,5.981940935036567,2.333084186161738,1893
31,6.260788911702675,1.7919665703318988,1863
32,6.806710149314776,3.0503414372634596,1880
33,7.240476950135855,2.6524742290598424,1877
34,7.682873792032363,2.459626165764728,1896
35,8.057778734119614,2.2026087848822096,1872
36,8.553533785327083,2.528098549625768,1878
37,9.04242755774809,2.0763973055213936,1868
38,9.53484010296024,2.500583818471458,1861
39,10.015523405535243,2.193833183061822,1808
40,10.799117446379958,3.609077411570516,1850
41,11.281540914769073,2.674397177393373,1859
42,11.947967228624456,2.77120585506746,1847
43,12.392311443579107,2.5817256126798305,1814
44,13.06149895803932,2.994466503767945,1825
45,13.961686921197591,3.3525524994885703,1835
46,14.562509171378801,2.6226895941146022,1815
47,15.104272669064889,3.2997833306801505,1747
48,16.447901011054533,3.4197603097279594,1782
49,17.296732518141678,3.0756823675341383,1801
50,18.166963564313576,3.828908827261779,1802
51,18.875257930124345,2.7888981659038303,1809
