frame,recurrent_mean_mm,teacher_forced_mean_mm,valid_points
2,1.1172773988261664,1.117277047230164,1945
3,1.2725069166485137,1.2564781236977518,1943
4,1.3219109601187995,1.7021214858809475,1942
5,1.4528303099505813,1.5078184011295959,1938
6,1.5697621160223607,2.081074001146821,1949
7,1.6904707663509821,1.5065180819143764,1931
8,1.9047423944576758,2.085370269897746,1935
9,1.939215679292422,2.423216290149244,1936
10,2.057332363891995,1.6376240120247187,1921
11,2.3052813806828665,1.6886226605641597,1925
12,2.3581529811266266,2.07051252603202,1928
13,2.5205080607305086,1.9882716427204183,1938
14,2.7212149978693145,1.7904072420616424,1934
15,2.864137366425379,1.8372201401935517,1935
16,3.169996588770485,2.0233637365192347,1919
17,3.258794737525217,1.7454582715366596,1913
18,3.4948108203949335,1.9090471015126564,1908
19,3.743714771928086,1.9705978492735032,1908
20,3.8914551777025075,2.2474450102891175,1921
21,4.081209196177271,2.3888159028856437,1912
22,4.230686251805782,2.417103207655702,1924
23,4.379637319814833,1.7670513056213533,1888
24,4.617482639485915,2.1827993973172477,1898
25,4.7659222525102685,2.5577516876661432,1908
26,4.9110854595877385,1.9253838925614442,1888
27,5.146412414292922,2.233167868621877,1897
28,5.346442411928609,2.4981568684661615,1894
29,5.703428146559331,2.3103673340549857,1897
30,5.981941872625907,2.333084186161738,1893
31,6.260789849292014,1.7919665703318988,1863
32,6.806711555698786,3.0503419060581294,1880
33,7.240478356519864,2.6524744634571773,1877
34,7.682875667211042,2.459626165764728,1896
35,8.057781546887632,2.20260831608754,1872
36,8.553535660505762,2.528098315228433,1878
37,9.042429432926768,2.0763975399187284,1868
38,9.53484197813892,2.500583818471458,1861
39,10.015525280713922,2.193832714267152,1808
40,10.799119321558637,3.6090769427758462,1850
41,11.28154466512643,2.674397177393373,1859
42,11.947969103803135,2.771206089464795,1847
43,12.392314256347126,2.5817256126798305,1814
44,13.061503645986017,2.99446673816528,1825
45,13.961691609144289,3.3525524994885703,1835
46,14.56251292173616,2.6226895941146022,1815
47,15.104275481832907,3.2997833306801505,1747
48,16.447902886233212,3.419759606535955,1782
49,17.296736268499036,3.0756821331368034,1801
50,18.166971065028292,3.828908827261779,1802
51,18.875259805303024,2.7888981659038303,1809
52,19.746147164012573,2.9568513570565336,1769
53,20.71364560344291,3.2621252892564567,1789
54,21.803026906650924,4.135191839988339,1812
55,22.195057386818817,3.2153154382899007,1765
56,23.734927865512567,3.6930713525496484,1778
57,24.497431771754563,3.5673338245999497,1781
58,25.53260353453135,3.268729434166562,1760
59,27.126167879519603,3.318993129862502,1782
60,28.1880740647229,3.403002775463071,1771
61,28.77801465302987,3.7568508673691547,1762
62,30.13955001381463,3.928446124311147,1760
63,30.529834702632375,2.868011485576194,1701
64,32.02166497874881,5.038761219099519,1719
65,33.089264206421554,3.2628762983173965,1719
66,33.75238739303388,3.0160240266564053,1705
67,34.75167761178799,3.745784031600363,1722
68,35.06580004337945,3.716545308048047,1690
69,36.0608448576043,3.3978157968396205,1690
70,36.43405041901371,3.8436437469240303,1704
71,37.10226284056084,3.12051109222633,1662
72,38.45404539703612,3.875018298991728,1682
73,39.47253369510584,4.05119133588383,1675
74,40.43232890052284,3.334100741287205,1657
75,41.318965884957315,3.0419232913787564,1643
76,41.65453661027918,4.016123150613171,1634
77,42.41633919969523,3.202252474817313,1636
78,43.38541278921593,3.7394738209481915,1623
79,44.39601408576177,3.57582346167179,1594
80,45.461246837941616,4.490728530294863,1602
81,46.436546020676595,3.959376962223926,1590
82,47.57150166649904,3.557047531956292,1587
83,48.664479562413376,3.4761853737684256,1588
84,49.723794250682296,3.6273114146477825,1567
85,50.62687280177425,3.340865917166369,1559
86,51.50221370984642,3.772383206764651,1560
87,52.3053939919933,3.0919997036041313,1534
88,53.5615199336954,3.924066878903676,1532
89,54.405961647495005,4.090443513582009,1510
90,55.322061439333936,4.104970522808227,1519
91,56.28154911544758,3.2890341033001147,1507
92,57.55309277624843,5.035681238119261,1494
93,59.112892653942595,3.308777390816642,1481
94,60.47195465404975,3.2694471588059493,1464
95,61.85465890694175,4.169418070032127,1426
96,63.55258069577374,5.125394005274675,1409
97,65.35482242487589,4.857446442269597,1411
98,66.59849342979207,4.361824059953667,1388
99,67.9660237368136,4.120660611610094,1406
100,69.21783301719664,3.9217861928353415,1390
101,70.53144068612482,4.021421467970687,1372
102,71.4580114757073,4.1126765695895795,1380
103,73.07461051558839,4.354902775449476,1334
104,74.27362976580021,4.0605165994545,1336
105,74.70765862284168,4.724239374449435,1330
106,76.28436886186307,4.635921271436527,1302
107,77.56876874768714,5.235507310073606,1299
108,78.84306517078876,4.772591794276804,1298
109,80.80433705329959,5.24675650696893,1294
110,82.97745162153447,5.5090274353180035,1284
111,85.4333731374215,5.5628544392987145,1255
112,86.71286005510659,4.8621254818683735,1254
113,88.35860687237407,6.261968399091766,1240
114,89.72546961578587,4.727158558857969,1226
115,91.6195275937266,5.552368440125743,1235
116,92.88021021961868,5.907170529184769,1231
117,94.3817482957563,4.869425552465723,1236
118,95.43314597964248,4.336300534159121,1226
119,96.91401958673751,3.758391092256619,1190
120,97.68730577038376,6.481877165903538,1217
121,98.58568137334878,5.503674268984127,1197
122,100.05186108031516,4.605819496897201,1166
123,100.83908359190374,5.396227937061404,1167
124,101.93027256735832,5.163422628884806,1156
125,103.35449327620339,4.596958340049584,1125
126,104.95948871041882,4.812992050121201,1100
127,107.19637435516916,5.149761483413617,1056
128,108.18371593538068,7.282626747687759,1058
129,108.49445554463522,8.331867038503749,1074
130,109.07249812422393,5.544023895004191,1059
131,109.40330964605849,8.172711248123576,1051
132,110.59607330019716,5.595945717447037,1031
133,111.58574760268536,6.662257166161978,1012
134,113.22492379386162,5.773653119293232,1003
135,113.96748705003112,5.243762315413236,943
136,114.2985835990249,8.502539238741003,952
137,113.75956723810354,9.43324385972133,964
138,114.21464310063811,5.681272910466939,938
139,114.67224670403198,6.147176054694059,938
140,115.7064602505038,5.3164128317684245,915
141,116.60333571052561,4.8835648685000566,906
142,117.53517200183872,7.447487769198791,892
143,120.10662702649633,5.152750987022614,821
144,120.16188479180911,8.589345947738636,843
145,118.87788244386499,9.762420225747803,853
146,120.1450981922747,7.604110661978303,847
147,120.85887370536419,7.980744518807592,848
148,122.8528562047515,6.935616963629321,839
149,123.7391256541649,4.878318587350883,840
150,123.90375884146643,4.342693955865173,824
151,124.38955013076303,5.226748819258664,791
152,123.60579294937324,8.305471085828797,826
153,123.56053363677688,9.170878234848967,849
154,124.2971488261766,4.488758186297903,814
155,123.78010205865841,4.946268968347156,807
156,123.00408561485554,5.40274699573895,807
