frame,recurrent_mean_mm,teacher_forced_mean_mm,valid_points
2,1.2950617711748325,1.2950615752753691,1871
3,1.9300892755662602,1.378249204926213,1839
4,2.7137423724860055,3.9067798990644054,1806
5,3.9462030988614005,2.8198097861058535,1780
6,5.135652922668599,4.591796832605799,1756
7,6.755430004159901,4.806381970332674,1744
8,8.59050020403851,5.807721293483614,1736
9,10.857390023712776,7.503351430769412,1733
10,13.36577216419954,7.533385169289586,1713
11,16.10550295128821,8.250888110832966,1709
12,19.147774600742018,8.47245353823678,1710
13,22.38408701940564,8.639797128585647,1685
14,25.638488010914173,9.347516067333084,1670
15,29.197598863645702,9.224783486368793,1682
16,32.618539474105646,9.908655975245484,1682
17,36.03231486579528,9.190915603552563,1670
18,39.32984194875644,9.641009508884357,1659
19,42.98455173958704,8.9275844105694,1646
20,46.32687241023259,9.840358369952229,1630
21,49.565049791787,10.484713235490606,1602
22,52.99061676397265,10.978697240181967,1604
23,56.28305672967038,10.436090988695135,1613
24,59.487840305109785,8.959540314623649,1594
25,63.05060899262038,10.0946844564056,1609
26,66.27182931663,9.26381057745096,1600
27,69.70205086006409,9.00609543028219,1582
28,73.27178416529456,9.915553203549976,1551
29,77.23544151453865,11.18181442332622,1557
30,80.69879357520904,14.012259199496668,1542
31,84.55688462166044,11.285897375382659,1536
32,87.96997985041344,13.855234025679675,1538
33,91.45783658315132,11.906721580985158,1528
34,94.86833653581428,10.542879704138919,1539
35,99.10269246505798,11.281141720011156,1519
36,104.58982702941455,12.131028817277567,1526
37,109.12993030343898,11.730387772465711,1525
38,113.97247727369475,10.032720672560336,1493
39,119.92320713439497,12.948465560244315,1470
40,124.23764676424298,15.629351282943738,1489
41,129.66352905160505,11.754085338744336,1453
42,135.7707904194747,14.090692643021985,1459
43,141.95024309037052,14.623666126098556,1455
44,148.52331263492147,14.37891873980357,1446
45,153.93087753886547,14.86230458352944,1432
46,160.84540768395783,13.631720574012629,1432
47,168.82085409698533,16.955460572361414,1427
48,176.64620077402304,17.465060898670615,1447
49,183.37637855376343,14.971975371877555,1428
50,191.93784332294683,14.819167521706866,1418
51,197.5175866159944,14.705798151491312,1406
52,205.938292135599,18.968644131484247,1412
53,213.5484941860426,16.274824342618732,1395
54,220.46918027587026,16.67313026582784,1406
55,227.5845246100161,16.405939069819464,1357
56,235.7954265059945,19.605087009498146,1350
57,242.38078286488474,20.97898636479112,1356
58,249.22995468023146,21.06521817415219,1371
59,255.01897501914783,15.633281809775745,1359
60,259.77206645847417,16.803980136954166,1374
61,264.23303261810105,17.338282601989885,1362
62,268.27634739071726,14.11845081337626,1336
63,273.28440276514954,15.641081742807206,1348
64,275.4281258906488,17.727635136127518,1342
65,278.915249175796,15.230498408433046,1338
66,281.0059634737172,12.676166873428318,1344
67,nan,nan,0
