frame,recurrent_mean_mm,teacher_forced_mean_mm,valid_points
2,1.0715181600435761,1.0715183652007867,1851
3,1.6882097593896166,1.1466977121556838,1826
4,2.2120413582085026,4.036537052642397,1822
5,2.811289157981997,2.5073846528947397,1817
6,3.4744030129069126,3.2217172364052553,1826
7,4.162826087125426,3.72348479268883,1818
8,4.74903737710447,3.0956210497002505,1810
9,5.367990526962268,4.325642542338387,1811
10,6.086554888257156,3.670297785824117,1807
11,6.812332987393422,4.934419894547237,1807
12,7.540344017610556,3.9194603975470366,1797
13,8.248340730984127,3.5858546676002803,1769
14,9.06277792902338,6.101781656432658,1739
15,10.020441120229261,4.086455494826807,1735
16,10.998097291928799,5.057265980720898,1719
17,11.631549722493084,6.007257933505622,1710
18,12.50350397548533,5.1405126220921415,1684
19,13.350082743404935,3.398718876635176,1641
20,14.346285947577364,4.93820094193978,1585
21,15.362409916905296,5.059151375486904,1550
22,16.492445375882458,6.066444557839001,1519
23,17.668734758947146,7.402965004947859,1506
24,18.740354574388608,8.058342176301414,1472
25,19.929729704978307,6.363244263563744,1438
26,21.24606432381548,4.602531740768162,1385
27,22.19839588943062,7.821974809493204,1349
28,23.10423390733618,6.103292023817569,1264
29,24.449746805302873,6.077470937283364,1171
30,26.117466488277397,6.134619119571583,1084
31,28.131064815855034,6.718069403809507,983
32,30.332303210821586,7.393953679626641,926
33,32.06654142652421,6.237124688936724,842
34,33.80423284839673,6.1206397072369185,781
35,35.882337526780276,8.696230926389104,743
36,37.45562416631487,8.272212824017021,718
37,41.389702425436155,12.068366352295246,694
38,40.66363628557612,14.414393217744848,718
39,41.66834202518732,24.520601540835575,751
40,42.999073756440076,24.08920844705453,805
41,42.652082339126316,31.627367130057095,902
42,42.59000997346774,31.745895477575115,1008
43,43.2923796348672,30.392143466028145,1138
44,43.70179792949958,27.44620901521555,1250
45,44.4961272590072,18.022936221272488,1321
46,45.47342071275828,14.469030686088956,1351
47,45.450988002715405,12.907895918456425,1363
48,46.13851741212427,11.068361995323627,1388
49,47.04819104924041,9.952518491551377,1394
50,47.958032094640444,9.115408139218351,1386
51,49.15087192020384,8.559893291727738,1368
52,50.73390763038921,9.44419062314239,1359
53,51.8170129671125,8.947866092814948,1350
54,53.329858651127715,7.885123840193353,1335
55,55.379697589654775,9.16316135220141,1293
56,56.58484684785803,9.620231922469191,1299
57,58.13829724700792,6.879126841098232,1287
58,59.97395862263222,7.654701929350194,1290
59,61.36800351035365,7.6653118396569075,1290
60,62.674851659769715,6.584299927111237,1293
61,63.7042353499373,6.626943904919913,1284
62,64.97524499653684,9.815361048676197,1299
63,65.65536248623883,8.373777132099637,1280
64,65.88035921980318,12.825132217159085,1315
65,66.61256366340629,12.723013163978836,1334
66,67.42064016728611,11.915113915929032,1356
67,68.08102317457987,10.621254679834546,1369
68,68.59018726377953,14.49950555878987,1388
69,69.4339184496151,11.740671201587727,1396
70,70.78920339584016,10.93806418894422,1400
71,72.52741345514124,8.984576924091215,1389
72,74.40589852629076,10.474572197982646,1384
