alpha,horizon,particle_mean,persistence_mean,persistence_ratio,metric_mean_mm,outside_fraction,final_step_mean,valid_points
0.25,16,0.006481224993293471,0.004120917701621487,1.572762540427162,3.2624181377532526,0.0,0.0002944963612733433,1913
0.25,32,0.014401386567869273,0.012240210173926458,1.1765636670640227,7.2491457313696115,0.0,0.0002772525770586732,1877
0.25,64,0.06566319401837005,0.06905807486240638,0.9508402044105573,33.05251657997473,0.0,0.0003569293257939115,1719
0.25,128,0.21496525201495578,0.23899156510052957,0.8994679453416385,108.20586277341931,0.0,0.0018154146285030428,1074
0.5,16,0.006460541277983646,0.004120917701621487,1.5677433391697124,3.2520067361531555,0.0,0.0002950407171274316,1913
0.5,32,0.014388111340091403,0.012240210173926458,1.1754791082542282,7.242463914142623,0.0,0.0002786163707076709,1877
0.5,64,0.06572090490672948,0.06905807486240638,0.951675890729274,33.08156730824948,0.0,0.0003561876484514184,1719
0.5,128,0.21535982099991272,0.23899156510052957,0.9011189198636513,108.40447566140742,0.0,0.00175524046523167,1074
0.75,16,0.006469476304001916,0.004120917701621487,1.5699115518507747,3.256504409798015,0.0,0.00029521146122224033,1913
0.75,32,0.014384168605570725,0.012240210173926458,1.17515699495187,7.240478828604957,0.0,0.00027820225021085905,1877
0.75,64,0.06572719394224476,0.06905807486240638,0.9517669595221387,33.084731798244114,0.0,0.00035584333540742796,1719
0.75,128,0.2154788793354283,0.23899156510052957,0.9016170894767317,108.46440974116547,0.0,0.0017513181022203613,1074
1.0,16,0.006474021835845612,0.004120917701621487,1.571014590584576,3.258792380668453,0.0,0.00029563766714794996,1913
1.0,32,0.01438416352472727,0.012240210173926458,1.1751565798574084,7.24047628818323,0.0,0.0002779862190982288,1877
1.0,64,0.0657361903254413,0.06905807486240638,0.9518972322413604,33.0892610577666,0.0,0.0003554609502866699,1719
1.0,128,0.21553859319988797,0.23899156510052957,0.901866947100094,108.49446557753579,0.0,0.0017516846097381422,1074
