alpha,horizon,particle_mean,persistence_mean,persistence_ratio,metric_mean_mm,outside_fraction,final_step_mean,valid_points
0.25,16,0.0858717318780408,0.07279007963077751,1.179717515266078,36.12545493120205,0.0,0.0026471891802941966,1670
0.25,32,0.21757962691222185,0.19869052427601439,1.0950679591039145,91.53377073597534,0.0,0.0032636997587393714,1528
0.25,64,0.6607336662988136,0.6297518925460108,1.0491967934031086,277.9646390222113,0.0,0.003417821921218849,1338
0.5,16,0.08574232455499158,0.07279007963077751,1.1779396998864873,36.071014404296875,0.0,0.002610605205604416,1670
0.5,32,0.21735569819105857,0.19869052427601439,1.0939409364540964,91.4395616940803,0.0,0.0031819671236407695,1528
0.5,64,0.6618237687867853,0.6297518925460108,1.0509277965185808,278.423223794843,0.0,0.0033988011792101666,1338
0.75,16,0.08565646417126684,0.07279007963077751,1.1767601382736925,36.03489356126614,0.0,0.0026139162257759873,1670
0.75,32,0.2173392810122505,0.19869052427601439,1.0938583095705654,91.43266128619929,0.0,0.003178048196263338,1528
0.75,64,0.6624063397736827,0.6297518925460108,1.051852876687125,278.66832237072595,0.0,0.0033914176872492908,1338
1.0,16,0.08565034238164296,0.07279007963077751,1.1766760362964048,36.03231921167431,0.0,0.0026311668807161067,1670
1.0,32,0.2173991577787549,0.19869052427601439,1.094159666501011,91.4578462770472,0.0,0.003271839069446344,1528
1.0,64,0.6629933355813248,0.6297518925460108,1.0527849831477645,278.9152684233114,0.0,0.0033770512750508717,1338
